Error_Label,Vulnerability_Type,This Type (Vulnerability),The rest (Invulnerability),Total,Original(1),Original(0),SMOTE(1),SMOTE(0),SVM_Accuracy(%),SVM_SMOTE(%)
l1,Unsafe array's length manipulation,3271,58912,62183,3271,58912,58912,58912,1.0,1.0
l2,Costly loop,15000,47183,62183,15000,47183,47183,47183
l3,Use of call function with no data,925,61258,62183,925,61258,61258,61258
l4,Blockhash function misuse,58,62125,62183,58,62125,62125,62125
l5,Using tx.origin for authorization,465,61718,62183,465,61718,61718,61718
l6,Hardcoded address,29450,32733,62183,29450,32733,32733,32733
l7,Checking for strict balance equality,517,61666,62183,517,61666,61666,61666
l8,"Return value of transfer, transferFrom or approve function of ERC-20 standard is always false",295,61888,62183,295,61888,61888,61888
l9,Locked money,6901,55282,62183,6901,55282,55282,55282
l10,Strict comparison with block.timestamp or now,85,62098,62183,85,62098,62098,62098
l11,Redundant fallback function,9187,52996,62183,9187,52996,52996,52996
l12,Revert inside the if-operator,9138,53045,62183,9138,53045,53045,53045
l13,Replace multiple return values with a struct,2190,59993,62183,2190,59993,59993,59993
l14,DEPRECATED_CONSTRUCTIONS,28366,33817,62183,28366,33817,33817,33817
l15,Extra gas consumption,13846,48337,62183,13846,48337,48337,48337
l16,Overpowered role,11345,50838,62183,11345,50838,50838,50838
l17,Send instead of transfer,1092,61091,62183,1092,61091,61091,61091
l18,ETH transfer inside the loop,967,61216,62183,967,61216,61216,61216
